Date,Open,High,Low,Close,Volume
10-Feb-15,532.15,541.00,529.17,540.16,2371468
9-Feb-15,531.06,533.88,527.55,529.28,1515687
6-Feb-15,531.01,540.22,528.65,533.88,2146922
5-Feb-15,527.93,530.69,525.64,529.83,1658751
4-Feb-15,533.14,536.75,525.03,526.10,1694832
3-Feb-15,529.94,537.45,526.81,533.30,2353096
2-Feb-15,534.32,536.50,521.72,532.20,3768861
30-Jan-15,519.00,543.10,518.18,537.55,6055445
29-Jan-15,512.90,515.19,503.48,513.23,3950857
28-Jan-15,525.00,525.69,512.35,512.43,1791077
27-Jan-15,531.40,532.78,520.86,521.19,1957440
26-Jan-15,541.50,541.50,532.07,536.72,1546563
23-Jan-15,538.03,545.41,535.75,541.95,2298290
22-Jan-15,523.00,538.84,521.91,537.30,2803401
21-Jan-15,510.84,521.85,509.59,520.39,2317789
20-Jan-15,512.77,515.61,509.37,509.94,2343612
16-Jan-15,503.15,510.85,503.09,510.46,2482858
15-Jan-15,508.89,509.75,502.01,504.01,2556682
14-Jan-15,500.42,508.26,498.16,505.93,2639959
13-Jan-15,502.57,508.60,497.26,501.80,3050295
12-Jan-15,499.24,500.28,490.91,497.06,2856938
9-Jan-15,508.18,508.60,498.65,500.72,2100024
8-Jan-15,501.51,507.50,495.02,506.91,3662224
7-Jan-15,510.95,511.49,503.65,505.15,2345875
6-Jan-15,520.50,521.21,505.55,506.64,2731813
5-Jan-15,527.15,527.99,517.75,519.46,2059119
2-Jan-15,532.60,535.80,527.88,529.55,1327870
31-Dec-14,537.74,538.40,530.20,530.66,1236445
30-Dec-14,534.96,537.84,533.61,535.28,1048631
29-Dec-14,540.50,543.93,537.16,537.31,2218632
26-Dec-14,536.93,543.25,535.49,541.52,1113464
24-Dec-14,538.82,540.29,535.10,536.93,737848
23-Dec-14,534.51,542.30,533.72,538.77,2877222
22-Dec-14,520.61,532.97,520.59,532.30,3319461
19-Dec-14,516.99,520.81,508.86,520.04,4872059
18-Dec-14,515.99,516.25,506.56,514.62,3876732
17-Dec-14,499.86,509.07,499.11,506.45,3639437
16-Dec-14,513.60,515.58,497.19,498.16,4349882
15-Dec-14,523.76,525.37,515.40,515.84,2621977
12-Dec-14,527.44,532.24,521.46,521.51,2371543
11-Dec-14,530.01,537.04,529.16,532.11,2073290
10-Dec-14,535.90,539.36,527.49,528.04,2316204
9-Dec-14,525.88,536.65,523.41,536.11,2168813
8-Dec-14,529.22,533.82,527.00,530.73,3231818
5-Dec-14,536.70,538.20,527.26,528.08,3070118
4-Dec-14,537.64,542.69,534.89,542.58,1633688
3-Dec-14,537.50,541.40,535.21,536.97,1623977
2-Dec-14,539.45,541.85,534.66,538.59,2073974
1-Dec-14,545.09,548.79,538.62,539.65,1994399
28-Nov-14,547.00,549.60,544.48,549.08,1210061
26-Nov-14,549.23,549.88,545.23,547.73,1480294
25-Nov-14,547.21,552.50,546.91,549.23,1903589
24-Nov-14,546.57,551.19,544.15,547.48,1653773
21-Nov-14,551.04,551.04,545.00,545.89,2505988
20-Nov-14,542.09,545.38,541.50,543.76,1750758
19-Nov-14,544.75,548.22,539.19,547.20,1517286
18-Nov-14,547.93,552.79,543.80,544.51,1822166
17-Nov-14,555.19,555.19,544.44,546.64,1680621
14-Nov-14,558.00,558.00,552.51,555.19,1425060
13-Nov-14,560.81,560.82,554.09,556.44,1510989
12-Nov-14,561.15,561.25,555.50,558.25,1094114
11-Nov-14,558.52,562.50,556.24,561.29,1100179
10-Nov-14,552.40,560.63,551.62,558.23,1304481
7-Nov-14,555.60,555.60,549.35,551.82,1589131
6-Nov-14,555.50,556.80,550.58,551.69,1650721
5-Nov-14,566.79,566.90,554.15,555.95,1645264
4-Nov-14,561.16,564.79,558.30,564.19,1386509
3-Nov-14,563.53,567.15,561.63,563.77,1544338
31-Oct-14,568.30,568.73,564.81,567.87,2341539
30-Oct-14,558.25,562.50,552.13,560.27,1612469
29-Oct-14,560.85,564.97,555.98,558.45,2053355
28-Oct-14,551.71,559.20,550.43,558.94,1739666
27-Oct-14,547.76,554.00,547.20,549.88,1598409
24-Oct-14,554.98,555.00,545.16,548.90,2175767
23-Oct-14,548.28,557.40,545.50,553.65,2153678
22-Oct-14,541.05,550.76,540.23,542.69,2974550
21-Oct-14,537.27,538.77,530.20,538.03,2460140
20-Oct-14,520.45,533.16,519.14,532.38,2749830
17-Oct-14,540.45,543.45,518.41,522.97,5998740
16-Oct-14,527.00,540.99,524.95,536.92,3805046
15-Oct-14,542.08,543.92,528.42,540.73,3836222
14-Oct-14,550.14,558.63,544.50,548.69,2610033
13-Oct-14,555.13,560.88,544.43,544.75,2756508
10-Oct-14,567.47,575.23,555.01,555.19,2979673
9-Oct-14,581.61,582.53,569.03,570.81,2413453
8-Oct-14,574.79,584.69,567.64,583.74,2210360
7-Oct-14,584.90,585.85,574.10,574.10,1546228
6-Oct-14,589.95,592.40,585.40,587.78,1286130
3-Oct-14,584.10,588.29,583.50,586.25,1214593
2-Oct-14,578.00,583.24,574.05,580.88,1536935
1-Oct-14,586.80,588.72,578.02,579.63,1449686
30-Sep-14,587.49,591.00,584.50,588.41,1571688
29-Sep-14,581.83,589.31,581.57,587.81,1144982
26-Sep-14,585.93,589.57,585.00,587.90,1289090
25-Sep-14,596.99,598.07,584.74,585.25,1676485
24-Sep-14,591.57,600.11,590.30,598.42,1760953
23-Sep-14,595.00,596.65,590.24,591.18,1405078
22-Sep-14,602.50,603.80,593.12,597.27,1785101
19-Sep-14,599.49,605.40,597.76,605.40,4194630
18-Sep-14,595.05,597.56,593.02,597.27,1494467
17-Sep-14,589.51,596.07,587.12,593.29,1720921
16-Sep-14,580.95,590.15,580.95,588.78,1581589
15-Sep-14,582.24,583.92,577.01,581.64,1550110
12-Sep-14,590.39,591.48,583.28,584.90,1852271
11-Sep-14,590.00,591.94,586.04,591.11,1501451
10-Sep-14,591.74,593.72,587.14,593.42,1160291
9-Sep-14,600.27,600.60,590.48,591.97,1574573
8-Sep-14,599.14,603.52,598.02,601.63,1601244
5-Sep-14,595.13,598.50,593.55,597.78,1799855
4-Sep-14,592.13,598.00,590.60,593.14,1634585
3-Sep-14,591.73,594.49,586.50,589.52,1579779
2-Sep-14,582.95,589.30,582.40,588.63,1585277
29-Aug-14,582.35,582.90,578.24,582.36,1206884
28-Aug-14,580.02,584.71,577.88,580.32,1405950
27-Aug-14,587.81,589.37,580.90,583.00,1368766
26-Aug-14,592.00,592.05,587.45,588.12,1471953
25-Aug-14,594.77,595.58,589.26,590.57,1298049
22-Aug-14,593.27,594.99,589.80,592.54,877464
21-Aug-14,594.90,595.25,591.10,592.42,1133593
20-Aug-14,596.95,596.99,593.00,595.41,968617
19-Aug-14,595.59,597.81,594.44,597.11,1045258
18-Aug-14,587.10,595.05,586.55,592.70,1470756
15-Aug-14,587.50,589.47,580.76,583.71,1725358
14-Aug-14,586.69,587.80,580.92,584.65,1272879
13-Aug-14,576.45,586.12,575.20,584.56,1903282
12-Aug-14,575.00,575.90,569.91,572.12,1394939
11-Aug-14,579.00,579.69,575.30,577.25,1203357
8-Aug-14,572.02,579.56,569.02,577.94,1495022
7-Aug-14,576.05,578.31,569.43,571.81,1163027
6-Aug-14,569.50,578.64,567.45,574.49,1322878
5-Aug-14,579.38,580.20,570.31,573.14,1651342
4-Aug-14,576.51,583.82,572.26,582.27,1524818
1-Aug-14,578.56,583.43,570.30,573.60,2213790
31-Jul-14,588.96,591.99,577.68,579.55,2310471
30-Jul-14,595.81,598.45,592.70,595.44,1215576
29-Jul-14,597.70,598.49,592.17,593.95,1366729
28-Jul-14,597.75,601.10,592.59,599.02,1358071
25-Jul-14,599.25,601.00,595.75,598.08,1361911
24-Jul-14,605.53,608.91,601.00,603.01,1355974
23-Jul-14,602.05,607.05,601.35,605.19,1106136
22-Jul-14,599.70,608.89,599.26,603.57,1881665
21-Jul-14,601.35,604.16,594.45,598.44,2240111
18-Jul-14,603.01,606.70,590.92,605.11,4874260
17-Jul-14,588.97,589.50,576.85,580.82,2941648
16-Jul-14,596.89,597.00,590.25,590.62,1442211
15-Jul-14,595.15,595.30,585.31,593.06,1673979
14-Jul-14,590.60,594.86,586.69,594.26,1954612
11-Jul-14,581.00,588.23,580.58,586.65,1514265
10-Jul-14,573.00,585.25,572.10,580.04,1436326
9-Jul-14,578.95,584.10,577.00,583.36,1373056
8-Jul-14,586.36,587.97,574.00,578.40,2129924
7-Jul-14,593.51,595.64,587.94,590.76,1337088
3-Jul-14,591.70,594.25,589.00,593.08,898852
2-Jul-14,592.26,594.15,589.11,590.78,1197005
1-Jul-14,587.65,593.66,586.29,591.49,1644628
30-Jun-14,586.76,587.71,583.29,584.67,1479411
27-Jun-14,585.45,587.88,582.62,585.69,2022118
26-Jun-14,589.30,589.60,579.60,584.77,2012360
25-Jun-14,573.55,587.30,573.26,585.93,2114743
24-Jun-14,574.22,582.25,569.16,572.54,2844325
23-Jun-14,564.35,574.44,563.50,574.29,1724098
20-Jun-14,566.45,566.77,559.37,566.52,3162147
19-Jun-14,561.15,565.00,556.67,564.99,2630539
18-Jun-14,552.80,561.40,551.58,560.66,2060681
17-Jun-14,552.36,553.74,547.47,550.62,1481669
16-Jun-14,557.25,557.99,550.00,552.30,1971842
